Id,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
768,Togo,,,,,,,,,23.5,,25.7,,,,,,16.8,,,,15.2,,,,19.9
776,Tonga,,,,,,,,,,,,,,,,,,,,,,,34.1,,
780,Trinidad and Tobago,,,,,,,,,,,38.2,,,,,,42.5,,,,,,,,
788,Tunisia,,,,,,60,,,,,65.5,62.6,,,,,60.2,,,,,,62.5,,
792,Turkey,,,,62.6,,,,,63.9,,,,,71,,,,,73,,,,,73.5,
795,Turkmenistan,,,,,,,,,,,61.8,,,,,,48,,,,,,,,
798,Tuvalu,,,,,,,,,,,,,,,,,,30.5,,,,,,,
800,Uganda,,,,,,14.8,,,,,,22.8,,,,19.7,23.7,,,,,30,,,27.2
804,Ukraine,,,,,,,,,,67.5,71.6,,,,,65.6,,66.7,,,,,65.4,,
784,United Arab Emirates,,,,,,27.5,,,,,,,,,,,,,,,,,,,
826,United Kingdom,,70,,82,,82,,,74,82,76,80,83,84,84,82,82,84,82,84,,,,,
834,United Republic of Tanzania,,,10.4,,20.4,,18.4,,,25.4,,,,,28.2,26.4,,,,,34.4,,,,
840,United States,70.7,,,,,76.4,,,,,,,72.8,,,,,,77.1,,76.4,,,,
850,United States Virgin Islands,,,,,,,,,,,,,78.4,,,,,,,,,,,,
858,Uruguay,,,,,,,,,,,,,,,77,,,,,,,,,,
860,Uzbekistan,,,,,,,55.6,,,,67.2,,67.7,,,,64.9,,,,,,,,
548,Vanuatu,,,,,,39,,,,,,,,,,,,38.4,,,,,,49,
862,Venezuela,,,,58,,,,,70.3,,,,,,,,,,,,,,,,
704,Viet Nam,,,,,65,,,75.3,71.9,,74.2,73.9,78.5,75.3,75.7,76.8,75.7,79,79.4,,78,77.8,76.3,77.3,75.7
887,Yemen,,,9.7,,,,,20.8,,,,,,23.1,,,27.7,,,,,,,33.5,
894,Zambia,,,15.2,,,,,25.9,,22,,,34.2,,,,,40.8,,,,,,,49
716,Zimbabwe,,,,,48.1,,,,,53.5,,,,,,,60.2,,,,,58.5,,,66.9
